1.687,0.445,2.332,0.429,3.0
1.687,0.449,2.332,0.429,3.0
1.687,0.449,2.334,0.429,3.0
1.687,0.449,2.334,0.429,3.0
1.687,0.449,2.334,0.429,3.0
1.686,0.446,2.334,0.430,3.0
1.684,0.451,2.330,0.432,3.0
1.680,0.453,2.327,0.436,3.0
0.753,0.457,2.323,0.442,4.0
0.744,0.462,2.321,0.449,4.0
0.735,0.467,2.315,0.457,4.0
0.729,0.469,2.310,0.465,4.0
0.723,0.477,2.303,0.472,4.0
0.757,0.480,2.304,0.476,4.0
0.760,0.483,2.306,0.476,4.0
0.757,0.482,2.307,0.474,4.0
0.761,0.482,1.700,0.473,4.0
0.762,0.482,1.697,0.473,4.0
0.765,0.482,1.697,0.473,4.0
0.812,0.481,1.702,0.473,4.0
0.814,0.480,1.700,0.473,4.0
0.811,0.479,1.698,0.473,4.0
0.908,0.478,1.700,0.473,3.0
1.270,0.477,1.705,0.473,3.0
1.639,0.476,1.707,0.470,3.0
1.638,0.475,1.712,0.465,3.0
1.637,0.474,1.715,0.465,3.0
1.636,0.475,1.707,0.470,3.0
1.635,0.475,1.706,0.468,3.0
1.635,0.475,1.706,0.468,3.0
1.635,0.475,1.709,0.468,3.0
1.635,0.475,1.709,0.468,3.0
1.633,0.475,1.707,0.469,3.0
1.629,0.474,1.708,0.471,3.0
1.624,0.473,1.704,0.474,3.0
1.618,0.473,1.695,0.478,3.0
1.611,0.473,2.596,0.483,3.0
1.609,0.472,2.589,0.488,3.0
1.603,0.471,1.682,0.494,3.0
0.576,0.471,1.670,0.500,4.0
1.581,0.471,1.662,0.506,3.0
1.572,0.471,1.654,0.513,3.0
1.562,0.470,1.646,0.523,3.0
1.553,0.470,1.637,0.530,3.0
1.179,0.470,1.631,0.534,3.0
1.167,0.470,2.541,0.545,3.0
1.159,0.471,2.535,0.552,3.0
1.151,0.471,2.529,0.582,3.0
1.143,0.471,2.526,0.582,3.0
1.136,0.471,2.523,0.578,3.0
1.128,0.472,2.518,0.588,3.0
1.477,0.472,2.508,0.585,3.0
1.129,0.473,2.502,0.589,3.0
1.457,0.473,2.502,0.597,3.0
1.448,0.474,2.901,0.605,3.0
1.438,0.475,2.895,0.613,3.0
1.428,0.486,2.890,0.617,3.0
